lim k model accuracy
10 10 gnb 0.195125
10 10 rf 0.1515
10 10 tree 0.126125
10 10 mnb 0.223375
10 10 logreg 0.220375
50 10 gnb 0.2615
50 10 rf 0.18275
50 10 tree 0.168625
50 10 mnb 0.262
50 10 logreg 0.254375
100 10 gnb 0.287
100 10 rf 0.189875
100 10 tree 0.166875
100 10 mnb 0.28
100 10 logreg 0.275375
300 10 gnb 0.303875
300 10 rf 0.219375
300 10 tree 0.17825
300 10 mnb 0.303875
300 10 logreg 0.30025
500 10 gnb 0.31075
500 10 rf 0.215875
500 10 tree 0.184875
500 10 mnb 0.30475
500 10 logreg 0.303625
10 50 gnb 0.142875
10 50 rf 0.146625
10 50 tree 0.1295
10 50 mnb 0.218625
10 50 logreg 0.228375
50 50 gnb 0.22925
50 50 rf 0.18725
50 50 tree 0.166625
50 50 mnb 0.276125
50 50 logreg 0.278
100 50 gnb 0.280875
100 50 rf 0.205875
100 50 tree 0.17325
100 50 mnb 0.289375
100 50 logreg 0.296375
300 50 gnb 0.315875
300 50 rf 0.22275
300 50 tree 0.18175
300 50 mnb 0.325375
300 50 logreg 0.31325
500 50 gnb 0.3305
500 50 rf 0.220125
500 50 tree 0.177125
500 50 mnb 0.32775
500 50 logreg 0.317
10 100 gnb 0.158625
10 100 rf 0.13375
10 100 tree 0.121875
10 100 mnb 0.221125
10 100 logreg 0.218625
50 100 gnb 0.149
50 100 rf 0.181375
50 100 tree 0.16325
50 100 mnb 0.271
50 100 logreg 0.279875
100 100 gnb 0.237
100 100 rf 0.199
100 100 tree 0.165625
100 100 mnb 0.292625
100 100 logreg 0.29725
300 100 gnb 0.31625
300 100 rf 0.220875
300 100 tree 0.1935
300 100 mnb 0.324125
300 100 logreg 0.321625
500 100 gnb 0.3305
500 100 rf 0.237125
500 100 tree 0.203375
500 100 mnb 0.336875
500 100 logreg 0.331625
10 300 gnb 0.184875
10 300 rf 0.146875
10 300 tree 0.136875
10 300 mnb 0.219625
10 300 logreg 0.221
50 300 gnb 0.152625
50 300 rf 0.1825
50 300 tree 0.168875
50 300 mnb 0.264625
50 300 logreg 0.266875
100 300 gnb 0.1455
100 300 rf 0.19475
100 300 tree 0.154125
100 300 mnb 0.290125
100 300 logreg 0.2935
300 300 gnb 0.259875
300 300 rf 0.2295
300 300 tree 0.197
300 300 mnb 0.32325
300 300 logreg 0.324625
500 300 gnb 0.31525
500 300 rf 0.243
500 300 tree 0.201375
500 300 mnb 0.346
500 300 logreg 0.349375
10 10 linsvc 0.218875
50 10 linsvc 0.261625
100 10 linsvc 0.28725
300 10 linsvc 0.31175
500 10 linsvc 0.320625
10 50 linsvc 0.226625
50 50 linsvc 0.28125
100 50 linsvc 0.306625
300 50 linsvc 0.334375
500 50 linsvc 0.341125
10 100 linsvc 0.216625
50 100 linsvc 0.27975
100 100 linsvc 0.30275
300 100 linsvc 0.3415
500 100 linsvc 0.3525
10 300 linsvc 0.220375
50 300 linsvc 0.267125
100 300 linsvc 0.29625
300 300 linsvc 0.339
500 300 linsvc 0.36
